FlightId,DaysToDeparture,BookedSeats,TotalCapacity,CompetitorPrice,SeasonalityIndex,OptimalFare
FL-00000,52,68,220,164.00459568729352,1.2830919435558246,230.4201024132372
FL-00001,15,103,150,266.3084687589859,1.0750561135194647,303.1663439898048
FL-00002,72,20,150,314.69063973292793,1.4157955876828372,262.407521244467
FL-00003,61,86,300,260.08115027318684,1.485862214172908,268.47886768636266
FL-00004,21,85,180,395.06564629065974,1.1456386439608632,334.74180694286883
FL-00005,83,13,180,439.1942024519034,1.0734484583630373,224.5281699849526
FL-00006,87,4,220,405.97078331484505,1.130356549989521,223.9359377318917
FL-00007,75,28,180,496.2666503898963,1.396915722012352,274.6843551405398
FL-00008,75,37,300,245.39167676256017,1.2518278978627173,199.93277504202362
FL-00009,88,5,300,456.24632325854753,0.8313406607626666,219.14112639282342
FL-00010,24,117,220,418.31793281107014,1.1795189373120003,356.9550643677242
FL-00011,3,279,300,276.7625651453511,0.812110085918679,281.01194200350835
FL-00012,22,73,150,406.94359027993903,1.3449747597023838,374.806749797084
FL-00013,53,41,150,186.42658474638642,1.0298185914797247,199.64834797951994
FL-00014,2,233,300,426.26671881919333,1.1304052374821305,416.9504124859223
FL-00015,88,3,220,336.31571090548596,1.3590746741353423,197.43658666151896
FL-00016,30,81,180,252.3015604482386,0.8325141721000331,234.0176656298268
FL-00017,38,124,220,379.52205562446306,0.9109790749141273,266.92431913017913
FL-00018,2,174,180,374.5669995500432,1.0785722635115804,382.56813650976846
FL-00019,64,65,300,223.3201779518599,0.9609476144818925,177.52980761725968
FL-00020,60,96,300,160.63909518403415,1.0365309980425441,202.60735360949056
FL-00021,21,94,150,301.76790541558586,1.4987223165247254,403.32804043608746
FL-00022,33,80,180,349.3291542705474,1.3777901063016675,350.89977516751304
FL-00023,76,30,220,456.8118474297095,1.418731270472076,280.3045410753922
FL-00024,58,92,300,474.87587847665804,1.4559382434960426,351.2712568356273
FL-00025,22,165,220,335.0818263548682,1.038655116219937,323.08226481690104
FL-00026,89,1,150,413.8312193189907,1.007953870457531,203.3529070859074
FL-00027,49,71,180,303.7561453147989,0.9638437448004524,231.6997474027316
FL-00028,59,38,180,411.1287548005125,1.3810818379156857,315.4152762180793
FL-00029,42,103,300,221.68053372870844,1.2756863035996295,258.0813712738077
FL-00030,60,36,180,279.87265718123604,0.9653203877380141,193.38965162149134
FL-00031,80,33,300,371.97979958476515,1.0638956804473185,215.02223539548567
FL-00032,15,115,150,156.3552879624776,1.1546982347529589,312.41904102018236
FL-00033,62,51,180,402.8614586186339,1.1696980400916277,275.1934635260332
FL-00034,62,75,300,442.4374254438584,1.4221094099862004,313.6924129528468
FL-00035,47,75,220,289.699581382883,1.0663962930630515,236.97362560878057
FL-00036,62,61,300,306.7798460120075,1.4359668213503587,281.56053677245285
FL-00037,51,55,180,447.94877427578587,1.1089572922238529,301.937912372712
FL-00038,55,43,150,421.4791223641117,1.3224608723546476,321.01200660363816
FL-00039,64,46,180,250.85232116168123,1.4511780239895393,250.11195283530157
FL-00040,3,141,180,263.39163729653865,1.4353029927742864,432.82253567592943
FL-00041,51,82,300,387.60738133670884,0.8398670071069768,235.54332656584887
FL-00042,7,123,220,347.11933235685643,0.9439930064835989,319.18100729585905
FL-00043,21,88,180,206.78034988377394,1.1338337978725925,293.35467908117226
FL-00044,73,31,220,258.47546823020826,1.1020880029671751,192.59747251230155
FL-00045,39,165,300,464.99414690752894,1.2486241653860448,350.6942939383161
FL-00046,18,150,220,390.8610528527922,1.4612963355777886,452.43521430206863
FL-00047,4,263,300,495.0910111899318,0.8786832978945642,375.8229079175742
FL-00048,89,1,150,418.4543854932693,1.1163010655939685,199.5465466904366
FL-00049,60,54,220,479.6910512502566,0.9346877265209975,266.93299286041633
FL-00050,14,119,220,225.66600085466638,1.4258753188785631,347.16822440073634
FL-00051,9,128,150,420.019706185924,1.475206130061157,497.46862224994965
FL-00052,53,82,220,157.0761320517291,1.135091177323245,200.38873790051304
FL-00053,2,97,150,384.76600759903687,0.8728072084096985,314.2289574560937
FL-00054,84,9,180,314.24879734208446,1.3497062667058712,206.78772974854465
FL-00055,60,79,300,271.366025172024,1.2879989453446794,258.14326846269347
FL-00056,71,26,150,451.8415233025812,1.0482695786272174,249.98825868365162
FL-00057,44,110,220,448.99369243013575,1.4211852317782743,383.7861740528955
FL-00058,8,113,150,157.80559671452525,1.483082322847895,395.8809722636869
FL-00059,47,85,220,363.32679285730086,1.1904976943911367,294.05831477707267
FL-00060,35,68,180,278.74127851233476,1.1960095379410047,284.7090862008066
FL-00061,78,12,150,295.4813505251572,1.0082594535796445,178.50543622477105
FL-00062,81,12,180,441.2142587265716,1.2091542251883198,220.02995795468738
FL-00063,36,110,300,258.4439200346874,1.1077496243673925,252.85017901893318
FL-00064,50,87,220,480.06708372316706,1.0115337188496363,301.7612887741874
FL-00065,4,186,220,212.87183923024926,0.847029637566731,272.34232364376305
FL-00066,2,115,180,381.9528481788622,0.9768955017963874,337.20899970241385
FL-00067,6,261,300,385.23677345481764,0.9384982547743651,346.5397348210009
FL-00068,54,39,150,238.26830649977137,1.1794293891877643,222.18541850188018
FL-00069,4,103,150,263.6627131385207,1.2211690152345156,357.96749847229466
FL-00070,54,61,220,442.1794724029792,1.2260002070142115,297.4416708018944
FL-00071,63,40,180,416.6318392342333,1.0717267007319755,255.45226054309103
FL-00072,18,101,180,265.18355811016585,1.0948608135798472,307.40613493505197
FL-00073,44,60,150,336.8847914272269,1.3839669007484479,321.1098287092869
FL-00074,34,142,300,171.5881036885834,1.1333629694620138,243.48516859862028
FL-00075,74,53,300,223.06105883952023,1.4914413324959856,210.06084163112033
FL-00076,62,29,150,320.0371956011397,1.1077320610062054,254.58105845653694
FL-00077,14,83,150,180.09080734772405,1.2547066612324873,303.58260677190566
FL-00078,48,52,180,445.1663242121781,0.8352540992953771,249.00218099257188
FL-00079,15,212,300,401.30217353767677,1.2573379470931676,405.88415039086414
FL-00080,72,18,150,480.2717847269732,1.3959984760905044,289.3839868369349
FL-00081,78,18,150,392.71341708740954,1.4597204869733074,261.98807241169743
FL-00082,87,5,220,479.14048029176496,1.4981244281478392,252.47784496930223
FL-00083,62,37,150,344.0793944918378,0.9975250519544632,230.59928806384104
FL-00084,40,68,150,360.07651387168926,1.2027590453780017,313.22570442271353
FL-00085,85,11,300,491.9398691191913,1.115502589872503,232.69690191925952
FL-00086,80,13,180,374.74520140249115,1.1946722364026197,220.1083706615915
FL-00087,82,19,300,160.7752991012613,0.9102170700328927,136.20020700418297
FL-00088,53,61,180,403.33097182068315,1.399304700817159,322.88353159987673
FL-00089,24,110,220,466.9140422480955,1.4366982603412113,415.47746747143714
FL-00090,26,68,150,428.4530874280143,1.1147631641790459,345.22576931745175
FL-00091,89,2,220,354.3416454188979,0.9963009031015038,187.65429088763437
FL-00092,60,36,180,384.9562295827307,0.8985833993571086,241.40269970569986
FL-00093,41,150,300,496.5671262380851,1.2786353773444632,353.8264594156991
FL-00094,29,186,300,181.73173097826842,1.0185622877345146,266.417390727503
FL-00095,15,131,220,383.53569002163385,1.436676998939372,424.6071752364302
FL-00096,45,58,180,249.18919309970784,1.269708732391409,257.732061604515
FL-00097,65,40,220,374.03163880515956,1.2519797276219684,259.1298507688429
FL-00098,89,2,220,362.6682515593786,1.1915814811287686,205.11097586612453
FL-00099,71,27,150,203.70989123785674,0.832043437600108,143.38930632927477
FL-00100,9,180,220,222.3613260090837,1.452345704979911,421.08992285063533
FL-00101,88,3,150,367.57035231512475,1.239556245309622,210.95971585382154
FL-00102,1,130,150,194.88048155632094,1.4958433883681772,428.3712990118641
FL-00103,8,181,300,242.813306295613,1.1761494833410209,329.5271390834194
